,GC124670,GC124671,GC124672,GC124673,GC124674,GC124675,GC124676,GC124677,GC124678,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
RIL182_03677,47774.198,29654.683,25502.097,34843.902,31490.51,32490.098,48814.576,50299.342,64055.027,2761.413,3331.786,2878.152,4023.069,4228.186,4005.786,4607.735,2822.958,2822.553,12785.704,8133.3,8246.216,14181.684,19202.988,14392.608,16926.645,39304.734,49007.275,23384.9,10944.957,19624.929,2089.628,2612.565,4649.086,679.655,874.622,857.909,749.77,1271.54,563.488,26410.891,17715.191,29327.532,33994.117,22208.193,29214.961
RIL182_03678,14828.239,12109.365,10418.13,8447.072,8996.755,6268.849,12719.019,12228.513,19837.596,1642.546,1428.859,1636.984,1524.547,1576.814,1336.214,1972.658,1003.939,862.926,8024.582,6177.807,5847.384,7075.714,8483.736,6821.331,10624.936,11368.176,15882.506,7262.677,3965.749,5928.486,715.405,909.281,1584.442,143.015,328.097,274.441,165.23,238.286,73.843,5580.095,5319.144,6314.878,7071.499,5541.467,6869.19
"fig|536231.75.peg.3832   LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent   [Roseburia intestinalis L1-82 | 536231.75]
",4908.264,4781.134,4252,3396.885,2813.514,2089.819,1060.067,1689.525,3758.741,275.038,199.606,285.285,137.352,139,152,461.351,205.667,51,1794.899,1452.575,1572.787,1464.799,738.941,920.421,3146.385,3254.975,7473.992,3287,1098,2650,404,310.458,494.81,174.14,199.996,186,28,20,31,351.489,211.117,286.416,4331.087,3460.362,3516.426
RIL182_03679,4998.487,3682,2726,14521.095,6906,7600,11443,10707,16558,837,629,852,776,575,581,1934,407,383,5094,3619,3241,7311,6166,4458.812,6707,12978.459,11741,9983,4268,6354,364,522,580,215,252,218,141,273,177,6357,4652,6811,23826,17432,19605
RIL182_03680,885.008,816,421,729,565.529,670,320,454,726,40,45,50,41,47,42,122,100,31,366,318,433,478,333,401,583,778,581,352,118,239,44,77,88,11,19,5,2,0,0,224,118,266,601,404,620
RIL182_03681,1591,1141,799,1526,1143,993,2122,1822,2888,204,120,136,208,136,131,150,113,153,920,762,934,1157,1095.912,789,748,1187,1554,1195,598,751,95,216,187,10,14,24,0,15,21,182,181,157,761,501,652
RIL182_03682,1633,1334,697,1482,1260,1512,1220,1107,1796,173,126,127,278,188,182,209,127,133,398,397,401,829,1149,935,917,1099,849,753,184,455,90,146,149,6,16,18,13,28,15,520,576,698,1064,938,1001
RIL182_03683,1042.016,866,432,1076,910,920,768,678,1430,73,55,76,107,84,115,181,102,104,282,264,207,612,483,289,631,916,601,540,77,276,66,90,113,3,14,13,5,0,54,214,239,203,873,606,729
RIL182_03684,1885.001,1314,592,2020.138,1651,1317,1460,1339,2297,172,117,180,317,254,164,227,114,125,483,331,458,1140,1215,710,1006,1289,985,637,276,650,87,191,229,21,28,16,15,21,23,700,473,636,1326,932,1195
RIL182_03685,5774.002,5365.011,4114,2388,2671.446,3281,1069,999,2007,124,107,98,94,69,68,173,66,57,2478,1645,1928,1134,1211.8,1368,1401,2246,1826,515,611,642,137,307,349,7,8,14,0,13,16,223,125,207,372,338,405
RIL182_03686,310,359,109,761,354,396,277,307,556,31,22,29,51,52,62,89,24,70,200,148,179,169,293,214,592,751,534,340,75,296,45,29,39,16,24,22,8,16,11,459,329,444,2089,1722,1736
RIL182_03687,420,428,129,1082,571,567,847,773,1057,38,45,60,180,78,103,139,42,110,189,213,140,245,487,243,715,974,919,602,158,591,55,54,53,24,34,14,6,61,48,815,939,1137,3529,2693,2550
RIL182_03688,1397.001,1222,438,3139,1594,1632,3869,3209,4885,260,268,278,1054,423,336,882,331,561,1385,1125,1038,1897,2643,1743,2496,3407,1523,880,259,1028,85,188,166,64,59,77,255,319,162,5338,5518,5868,10220,6943,7473
RIL182_03689,3513.194,4101.001,1867,5856,4059.082,8229,1912,1723,2459,156,132,144,862,324,223,2574,295,440,3536,2986,3020,2373,5889,3034,5479.008,5911,3148,1806,861,2232,203,293,219,43,56,68,64,61,63,6168,5123,7881,11280,8183,9764
RIL182_03690,9716,13789,2782,19828,15601,12688,8209,7318,13349,1956,1201,1322,1718,950,892,3885,1176,1480,30469.349,20966,20483.457,13643,22977,9595,30762.299,25885.007,6664,2266,1125,2446,367,1916,1541,467,280,307,220,372,249,6567,6482,6293,19505.403,17199,15115
RIL182_03691,3881,3160,1685,13054,5584.019,6006,16080,13460,23389,970,614,1042,1824,1135,927,2539,1147,1330,5729,5232,7405.001,8295,7457,5447,6954.803,10060,9778,6290,2988,5336,347,513,677,208,202,317,255,328,179,7353,6829,8698,24654,19780,22026
RIL182_03692,1534,1344,461,6710.047,2953,3382,8637,6921,10015,692,637,710.667,1220,737,700,937,550,570,1300,1080,1068,3382,3854,1946,3070.014,5080.542,2983,2316,876,1465,163,294,290,112,205,168,321,221,290,5241,5208,5380,13581.502,9214,9660.468
RIL182_03693,2294.411,2078,911,10343,4042,6416,16526,16239,26173,1387,1083,1027,2257,1223,1178,1911,1509,1474,2962,2503,3486.659,5414.219,4151,3821,4776.003,6673,3915,3254,1695,2334,161,365,458,154,260,171,229,191,220,5677,5343,6093,27073,18261,20294
RIL182_03694,974,1132.026,404,867,688,561,473,548,931,36,31,44,107,51,13,726,46,131,1081,849,935,747,1337,1215,2638,2184,1107,828,78,596,54,70,64,73,66,113,118,136,65,2063,2714,2019,16523,12493,12557.631
RIL182_03695,848,700,310,1053,846,534,2001,1676,2631,99,107,142,276,155,122,358,197,219,672,529.378,532,1157,1074,896,1377,2080,1246,1111,376,808,48,115,176,97,98,116,179,54,155,2187,2330,2083,15991,10991,11714.252
RIL182_03697,27,28,4,13.083,16,1,93,55,119,1,4,6,15,0,0,33,9,38,76,53,35,165,280,106,52,56,51.731,46,80,5,5,1,3,5,4,0,19,19,18,404,408,659,53,74,92
RIL182_03698,1561,1929,1030,2833,2331,2167,7639,5241,6654,282,199,305,1152,285,420,3556,706,843,6571,5933,6560,7944,9724,6151,6464.074,6312.227,4217,3391,1467,3047,154,206,228,135,124,114,703,807,595,21991,18234,24632,28270,21357,24518.274
RIL182_03699,2347,2294,640,4217,2729.214,3074,4561,4677,6492,321,268,386,599,403,367,2268,280,256,2379,1818,1724,2280,2301,2315,6489,6836,3605,2770,822,2399,206,340,334,176,178,276,253,307,288,6577,6019,7591,41951,29907.86,31803
RIL182_03700,171,202,87,478,281,151,94,121,148,19,4,7,36,2,0,38,68,0,140,70,104,88,28,75,530,534,302,118,29,210,20,16,7,36,25,21,0,5,0,140,160,110,3041,2132,1578
RIL182_03701,875,998,370,1841,1164,1534,1755,1604,1892,145,159,153,269,184,122,930,127,241,884,729,822,993,1396,1109,2680,2794,1437,1021,357,1080,87,108,101,47,72,59,121,190,92,4536,5405,5141,14178,9822,10273
RIL182_03702,1823.025,1881,588,3402,2335,2054,3569,2700,4267,289,263,359,680,459,308,1320,298,274,2136,1789,1876,2136,3720,2640,4179,4683,2514,2057,465,1779,122,246,235,87,171,120,311,367,197,8041,7580,8004,21718,13866,15306.56
RIL182_03703,1689.006,1254.046,548,3764.383,2285.131,1924,3356,4106.394,5606,268,245,291,545,233,427,866,320,237,778,839.476,864,1516.091,1346.727,1287.966,2892.231,4322.985,2510,2186,661,1657,183,258,276.456,88,158,156,283,138,43,4426,4316,3960,21318.765,14470.516,16662.187
RIL182_03704,432.17,408.145,67,956.293,707,557,275,564.606,731,62,36,51,62.192,73,31,181.151,25.67,52,191,170.684,154,164,198.318,124.316,891.439,1334.539,573,342,30,187,19,35,38.544,13,20,26,43,4,12,597,543,426,5038.023,3780.492,3747.524
RIL182_03705,261.664,326.855,107,456.323,420,554,229,163.971,241,33,13,38,93.808,43,20,259.849,71.33,56,75,82.84,71,141,161.955,161.684,458.33,448.446,124,79,31,66,20,37,26,15,18,19,31,22,24,817,707,887,2163.212,1979.992,1795.897
RIL182_03706,75.336,63,31,76,76,117,26,17.029,21,4,3,3,0,0,0,44,10,0,22,7,36,0,16,14,77,78.031,9,2,0,41,4,1,0,5,5,5,0,0,0,17,39.648,25,365,372.295,302.392
RIL182_03707,2097,2445,781,4984.354,3497,3095,1110,1270,1822,227,153,221,250,24,166,698,151,197,1368,1199,1282,1157,1274,1088,4740,5687,2939,1295,215,1248,157,365,252,94,172,118,129,73,63,2015,2009.352,2496,12057,8617.705,8816
RIL182_03708,3350.014,2544,1279,9696,5649,4156,8267,6265,9621,767,730,922,1264,776,629,1293,418,900,1739,1667,1572,5022,6735,3254,5864,9755,7967,4940,1298,4137,321,470,599,131,204,239,281,356,199,7346,5920,8269,17023,10773,12437
RIL182_03709,4464.257,4410.044,1659,7138.315,5586,3211,5083.017,5119,8157,820,671.425,881,1170,724.002,909,2966,947,1016,9747.017,9481.251,10817.25,10514.982,9216.267,5804.434,11969.422,15281.782,6679,4221,2860,3819,265,567.053,732,134,280,101,185,219,47,6492,6415.871,5662,10231,7440,8053.363
RIL182_03710,17430.679,34588.341,7433,10979.685,21943.792,4699,928.983,651,1726.861,541,387.575,298,191,118.998,92,1384,185,218,81743.23,50224.28,51087.125,33367.018,36611.682,30196.566,64852.941,66889.979,7503,1272,1263,2480,346,2078.947,1576,142,98,85,56,10,38,1082,1355.129,1101,3674,3136,2764.637
RIL182_03711,886,1060,710,1378,1021,1052,1207,1090,2089.139,151,97,172,151,124,163,226,153,90,1212,1323,1751,1651,1093,1117,1898,2288,1577,806,349,830,47,71,133,31,58,60,33,10,21,697,1187,706,5442,3940,3958
RIL182_03712,2008,1856,782,7752,3412,4604.015,4982,5010,7090,456,429,695,497,356,218,726,339,371,2957,2609,2996,3838.001,2955,2778,4451,5738,4390,3296,984,2197,218,269,366,164,275,264,123,96,126,3138,2935,3097.781,17558,12531,13921
RIL182_03713,1128,946,639,3701,1761.004,2526.147,4728,4179,7732,290,180,162,396,300,158,348,504,448,1383,1065.001,1487,1323,965.612,1041,900,1749,3920,1967,900,1189,171,153,182,38,51,57,30,13,16,331,293,307,1585,1229,1260
RIL182_03714,1334.23,997,552,7182.074,3009.505,4213,5296,4986,7408,544,460,680,585,499,310,496,316,287,1092,941,940,2296,1727,1378,1971,3432,2585,2257,933,1791,111,194,259,99,189,178,117,143,39,2807,2445,3049,11060,8422.491,8368
RIL182_03715,2355,1996,1181,13916.606,5506,7982,11296,9636,13890,841,684,1092,1783,780,704,1274,508,931,2244.004,1877.385,1575,4213,6289,3638,3399.004,5645.156,5871,3970,1167,2967,314,340,438,144,294,284,528,556,329,12587,9568,15058,25923,17431,20483
RIL182_03716,354,463,104,2020.656,899,895,251,406,594,82,49,133,93,108,55,108,65,14,114,62,72,136,142,164,486,809,716,318,137,312,44,63,56,37,27,50,53,11,71,424,840,654,6407,4562,3961
RIL182_03717,1641.001,1717.487,983,4836,2259,3933,1859,1530,1813,131,134,201,270,178,201,1217,82,189,1855,1281,1386,669,1817,1515,2077,2709.12,2147,1019,310,1143,156,142,165,68,58,64,63,96,45,4297,3261,5334,13295,9465,10950
RIL182_03718,1575,1488,630,8826.12,3451,4845,3474,3990,6067,393,195,460,538,351,245,1393,208,361,1119,992,865,1480,1226,1144,2469,4357,2932,1974,699,1400,141,199,209,187,209,240,151,144,172,5842,6367,7164,31805.222,22054,22409
RIL182_03719,2166.118,2107,872,10144,4326,5572,4306,4792,7747,529,274,450,846,374,351,3222,383,415,3570,2962,2795,1664,1160,1256,3682,4843,3109,2402,486,1823,135,259,233,201,174,223,218,204,144,7837,6952,8166,42607,34306,34966
RIL182_03720,2528,2333,678,11422.847,4747,7117,9985,7584,10363,1002,756,1174,2119,1351,831,3355,596,1366,2157,1758,1968,2220.557,3502,2505,3988,6119.149,2874,2145,556,1993,151,317,371,204,293,240,436,705,348,20709,19410.149,23510,45819,33291,33543
RIL182_03721,2067,1434,1180,8627.185,4149,5896.379,11180,10353,14070,801,719,930,1287,1098,744,2196,553,962,2282,2373,2792,3275,2656,2243,3101,6221,5314,4256,1638,2777,250,314,312,176,265,212,236,243,198,9971,10010,11362,22234,15504,16102
RIL182_03722,2831,2497,864,11787.951,5811,5729,4860,4971,8960,1196,819,1193,1158,935,663,2640,419,746,5155,5043.001,6244,4828,2822,2818,5616,9052,5079,2787,1339,2154,303,664,670,214,204,204,250,163,115,6650,7494,7009,25669,20113,20799
RIL182_03723,9093.851,7011,3977,46429.395,19077,23217,17592,16148,22579.285,3046,2517,3105,2369,1534,1696,5296,1086,1768,5712,5103.97,4602,10126,13082,7501,11033.121,23303.87,19108,10450,3167,8141,762,1437,1534,386,474,467,313,721,412,23999,18925,27843,51382,33857,40790
RIL182_03724,7622.577,7575,3025,29952.561,13809.667,14920,10174,9619,16482,1812,1211,1505,1565,812,673,4011,860,1121,13825,13232.209,15298.09,9769,9120,6244,11253.414,16590.709,10538,4858,2234,4850,368,758,992,215,225,199,122,207,82,10865,9990,12768,20259,15985,19367
RIL182_03725,2070,2805.057,1579,1942,1371,1656,1977,2118,4174,102,78,72,44,80,109,86,80,18,792,584,516,827,1261,683,1252,1303,1194,777,153,555,159,183,188,6,27,15,0,0,0,69,121,132,502,387,393
RIL182_03726,534,364,321,849,543,828,866,935,1957,80,36,45,27,105,52,34,80,9,103,105,128,261,66,140,171,278,560,361,89,292,62,96,106,21,6,5,0,0,0,43,63,35,280,196,241
RIL182_03727,3699.296,3488.623,1499,10023.253,6113.096,5792.263,7540.69,6962.576,9147.187,764,620,960.002,2178.004,1323,1085,5144,678.862,1557,1453,1454,1281.486,2378.906,3371,2195.271,5966.726,8715.05,6174,5045,683,3572,249,467,396,192,323,282,1023,1315,905,36885.267,30900.887,39577.923,58647.424,42106.188,43084.476
RIL182_03728,542.562,585.055,172.666,1478.053,777.595,817.613,423.128,391.3,576.862,67.01,43.012,75.13,144.036,98.059,172,643.078,80.32,139,406.009,359.021,389.642,370.33,293.865,242.252,1048.52,936.473,674,440.298,111,402.007,17.06,44.982,35,32.028,29,18,78.406,60,44,2174.017,1968.81,2041.796,4543.784,4027.959,3442.158
RIL182_03729,299743.739,321589.173,219083.205,1152101.592,648070.534,708055.222,589755.183,570656.124,953708.135,79901.787,51966.988,55951.802,35942.96,28822.941,26668,149878.922,34779.818,30640,1135779.279,830317.912,790628.225,459087.363,419241.908,386334.95,816711.579,931882.403,998256.184,463767.621,265192,402540.87,29427.94,34375.018,37530.496,9474.972,11143,10793,2926.594,5912,3243,95387.716,61778.303,112721.281,233639.792,178797.355,215396.321
RIL182_03730,3543,3911,3194,8870.999,5950,7362,3238.001,3420.015,7050,631,506,672,1537.483,617,644,3997,710,1477,5375.974,4313,5574,7844.762,5503.119,4661,9484.992,9465.055,8651,5186,4071,5014,467,646,505,181,208,181,458,299,282,16339,17725,15867.192,29734.035,25049,24603.382
RIL182_03731,1534,1550,406,2931.988,1921,1849.503,1186.999,1267.718,2294.871,180,89,172.478,183.309,119,179,786.503,61,208,1354.069,1224,1524,1329.238,886.938,772,2603.008,2686.404,1794,716,161,788,81,165,162,101,90,67,77,44,2.119,991,1538,1289.808,10283.47,10683.367,9297.678
RIL182_03733,54035.498,49060.203,24586,422792.016,153255.854,196166.607,251418.443,214391.494,293895.876,23151.578,16627.693,22853.695,41118.233,20844,20996,118540.626,20864,36405,63476.181,50649.892,52718.963,132290.451,180352.64,86478.435,138021.525,206357.673,160813,107769,42528,86088,4695,6719.799,7105,2884,3744,3757,11556,18167,10846,611882.779,446966.958,681026.261,841687.397,652987.347,715612.54
RIL182_03734,1967.577,1546.885,550,8803.285,4320.832,4059.322,4478.429,5262.506,8035.7,1330.555,725.307,1058.266,344.767,292,303,462.184,326,285,1181,855.503,644.041,4249.2,1367.825,1304.565,3973.45,5722.964,3757,2181,542,1542,153,407.201,454,225,325,257,74,37,17,847.221,626,990.739,12324.866,10368.08,8029.825
RIL182_03735,611.94,596.51,406.375,2513.653,1160.583,1087.98,623.896,410.387,1062.277,112.555,68.191,117.218,113.067,98,75.009,173.554,67.268,66,1248.513,739.919,677.253,554.073,560.576,424.979,879.429,1034.626,2416.071,1263.092,448,1027.672,85,77.002,69.333,34,53,35,25,25.838,26.406,375.533,513.45,549.645,2573.463,2504.005,2331.172
RIL182_03736,4640.326,3603.468,2301.625,21383.134,11187.274,9860.852,12124.773,10777.006,16119.904,1697.445,1112.604,1581.782,1552.933,976,741.991,1819.446,1302.732,1169,4391.804,3642.126,3718.747,11468.05,7441.009,6860.635,6205.223,11776.149,18600.929,9021.908,3177,6300.328,604,690.998,758.667,361,422,278,399,590.162,334.594,6449.467,5569.55,6388.355,23696.381,19495.447,20818.608
RIL182_03737,40163.063,35035,20876,130502.425,73169.547,77633,52836.331,56459.607,82361.753,5132,3193.204,5132,6090,4312,4207,52276,6905,6654,171978.42,159019.552,186080.113,86061.813,50833.415,63254.676,90847.097,125710.679,118569.874,62821,39632,56265,3595,4309,4949,1667,2030,1966,1256,2053,958,44384,37411,54023,191775.731,151395.548,170407.22
RIL182_03738,26617.32,21565.605,12138,119768.141,58573.601,56318,45535.532,42665,64966.338,5365,3315,5454,4751,3379,3401,13281,3811,4084,25699,18016.176,18465.001,37033,31506,24406,44096.615,64931.994,72052.055,43601,13595,30881,2667,3417,3422,1348,1611,1528,819,1279,658,33782,28632,41901,122831.774,96079.586,114662
RIL182_03739,34129.839,25685.912,15654.002,139851.026,73405.556,66308.167,68826.011,61283,89241,8149,5811,8027,8268,4540,4187,13684,6475,7336,54219,36169,34251.847,68804.907,66601,38668.693,58569.286,89619.596,83951.165,46338,18252,35568,3379,4561,5177,1518,1861,1890,1132,1994,981,40596,30945,49695,96437,73339.181,84093
RIL182_03740,13699.653,9507.461,3748,50177.533,31833.083,24229.625,57751.155,49430.786,73928.973,7849.162,5347.341,5591.012,8844.694,3704.996,3458.334,20409.946,7572.552,7759.322,66066.468,45453.109,49582.105,50508.536,36222.962,18259.464,30610.32,43030.464,25576.797,13775.624,7993,11053,1095,2316.919,2698.707,572.079,681,489,886.911,1154.455,861,45557.801,34857.203,45267.921,30884.9,24657.333,28290.987
RIL182_03741,4819.806,4224.539,1362,16384.764,13171.732,10836.375,7185.302,7980.214,15059.027,2424.838,1341.659,1573.988,1765.306,973.004,1012.666,6749.054,1440.448,1526.678,29133.532,21538.129,24212.222,15385.464,4583.038,3696.536,15022.664,21169.518,7996.203,4059.376,2172,3178,401,1199.081,1136.293,408.921,313,219,109.089,104.545,45,3911.199,4445.797,3133.079,10189.1,8244.667,7290.672
RIL182_03742,1578,1051.122,732,1765,1260,1239,1899,1758,2985,163,127,129,286,186,172,517,330,283,720,650,872,1686,1204,1042,1059,1555,2171,1323,893,1215,79,173,210,34,13,24,0,0,39,553,574,727,1739,1378,1494
RIL182_03743,2117,1405,952,3509,2301,2746,5005,4483,7015,577,426,434,595,578,532,627,447,362,962,778,760,3394,2209,1623,1700,2964,3263,2462,1194,1729,244,303,356,66,70,76,96,86,14,975,1129,1281,4100,2901,3186.687
RIL182_03744,3002.251,4308,2946,1781,2267.735,1661,870,818,1300,166,103,76,185,73,80,729,116,160,19644,11761.811,14409.28,5344,5312,3779,8737.355,8123.754,5153,1045,1703,1842,43,146,229,21,29,19,6,62,13,961,841,586,405,288,530
RIL182_03745,124,62,68,207,284,177,376,230,464,19,22,22,12,36,0,66,32,3,176,103,73,407,469,293,172,376,367,432,202,203,6,12,9,10,2,6,0,0,19,36,69,86,644,438,681
RIL182_03746,644,393,239,575,375,268,1058,896,1809,57,52,38,37,32,71,25,62,50,569,283,327,975,412,406,430,669,748,619,441,527,45,65,65,15,19,14,13,30,0,71,81,65,848,691,762
RIL182_03747,3315.697,2502.793,2242,10118.4,10622.432,7275.236,7602.082,6414.211,10835.643,439.771,303.102,313.416,442.002,297.002,294,1780,444.012,237,4390.224,4175.387,6110.806,7655.123,6179.635,6046.813,3880.563,6808.376,9687.723,6435,5503,5039,210,266.19,444,29,63,40,67,61,32,3479,3170,3838,4434,3381,3449.838
RIL182_03748,1428.304,1037.207,580,5464.6,4898.568,3700.764,5378.918,5017.789,7626.357,371.229,238.898,207.584,315.998,157.998,155,277,264.988,186,1972.776,1514.613,1798.194,6024.877,3228.365,3237.187,2274.441,3616.628,4308,2781,1551,2149,106,127.81,160,37,51,11,61,20,12,959,924,1105,2626,2012,2532.162
RIL182_03749,379,283,160,11902.628,15290,19648.92,5780,5969,8976,56,52,24,47,83,12,165,176,89,1316,1004,2795.908,6759,3250,5023,2265,3469,5658,4835,2215,3393,22,37,41,1,15,11,4,13,0,117,221,175,346,293,366
"fig|536231.75.peg.3904   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,4,10,155,284,195,47,94,69,1,0,0,0,0,0,0,0,0,12,3,15,42,1,30,28,36,58,49,23,24,0,3,0,0,0,0,0,0,0,0,0,0,1,7,0
RIL182_03750,430.23,250,192,12723,16683,10915,13024,11084,17528,31,22,21,23,57,12,47,69,28,3358,2877,4031,8138,4583,5587,2120,4210,6873,5509,4131,4467,22,26,34,7,0,2,0,0,0,86,38,84,196,148,200
RIL182_03751,187,122,46,10043,11101.051,5783,4814,4447,8415,28,17,32,42,45,34,13,32,10,310,209,396,3285,1241,1802.239,1291,1817,3270,2119,695,1482,5,32,34,1,1,1,0,0,0,33,33,44,154,113,136
RIL182_03752,12662.001,9487,8015,6867,9210.062,6982,5736,4782,7723,792,707,511,832,418,369,6569,771,944,20850.013,20685,26449.322,15168,16086,15396.042,10994,15045,12919,7971,10021,9832,461,882,1762,74,49,73,255,430,217,10001,8573,11893,4458,3637,4450
"fig|536231.75.peg.3908   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",4,14,6,4,0,6,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,2,9,18,14,0,35,0,1,0,1,0,0,0,0,0,0,0,0,4,0,9
RIL182_03753,19687.756,13691.549,9289,29509.42,14296,22340,18155,18752,30697,2956,2271,2322,1337,1789,1430,2092,971,771,6076,3899.798,4628,10917,8368,7594,9916.529,18209.07,21432,16428,7608,13801,1616,1958,2398,186,299,183,119,168,52,2701,2403,3552,8926,5907,7601
RIL182_03754,3219,2535,1241,2335,1328,1427,1792,1474,2076,213,158,216,176,135,228,307,139,126,433,427,487,1496,1679.544,1474,761,1487,954,1044,296,686,952,1039,753,21,50,30,17,26,11,310,340,316,815,622,662
RIL182_03755,1587,1451,669,947,865,462,322,343,468,82,46,62,99,64,32,142,176,25,199,195,97,840,1092,1105,434,633,462,342,136,241,564,529,444,13,15,15,0,0,0,40,121,231,371,326,296
RIL182_03756,3908.684,3436,1127,895,1313,742,823,650,1202,144,97,97,127,95,49,300,235,96,435,390,366,1174,1098,2983,742,894,543,402,127,187,783,982,882,32,37,38,11,23,26,279,228,439,712,516,486
RIL182_03757,46765.159,39018.803,21301.371,455,417,289,670,594,1021,61,45,24,62,15,4,106,83,12,858,777,655,1548,976,1225,653,1156,1010,859,673,838,514,1414,3452,11,14,4,7,23,0,52,139,198,475,368,493
RIL182_03758,28288.429,26731.319,20536,263,254,279,398,346,572,25,33,7,11,34,0,48,17,0,418,276,242,777,631,596.055,370,575,515,684,436,444,306,636,1633,11,1,3,3,0,0,3,46,31,188,122,113
RIL182_03759,2624,2087,1465,1689,1828,1344,2129,2328,3391,527,517,316,434,341,380,450,447,340,1132,1138,1655,2408,2123,1546,1131,2107,2217,896,735,638,71,273,460,39,33,54,13,94,11,988,1184,1063,1845,1216,1629
RIL182_03760,2959,2235,1088,2451,1889,1541,2955,3759,5019,311,212,259,338,282,242,394,364,437,908,841,859.869,2979,2118,1790,2180,2969,2314,2128,780,1670,209,274,382,82,99,99,60,120,27,1033,815,1069,5731,4569,5351
RIL182_03761,1811.001,1425,1012,1609,1151,1344,3165,3254,4898,368,335,275,463,428,329,400,304,260,925,727,859,2904,1864.88,1566,1494,1938,1781,1676,589,1323,136,186,330,34,75,42,63,75,51,821,921,747,1876,1432,1746
RIL182_03762,1469.111,1203,863,1363,1096,1505,2389,2907,4700,277,202,178,286,195,203,245,205,88,679,696,1064,1722,1162,902,1048,1447.017,1314,1320,716,1039,140,188,218,12,30,34,12,16,10,374,320,455,1260,849,1102
RIL182_03763,2655,3445,2011,2498,2289,5545,3725,3668,5252,425,352,327,603,739,597,276,366,346,1013,625,877,1829.001,1677,1813,2002,2790,2708,1722,594,1654,179,370,639,51,57,73,44,97,53,1216,1231,1253,2495,1808,2284
RIL182_03764,19604.166,24691.997,7817,21533.936,22190.654,27171,10478.763,11733,18642,1918.097,1141,1619,1908.232,2022,1540,974,2171,993,4646,3192,3501.058,10981,8143.186,9853.14,8481,13425,12622,5362,1112,5375,1001,3189,5478,208,317,231,84,142,102,2014,1715,2189,6813,6643,6634
"fig|536231.75.peg.3921   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",10385.9,14079.902,13401,3420,5086,5310,834.237,707,1424,283.903,185,133,203.768,134,160,162,76,66,5173,3806,7131.637,5037,4707.453,4446.86,4645,4077,3997,1446,1167,1749,310,699,1089,33,35,23,6,0,0,190,351,282,335,189,160
RIL182_03766,10770,7922,4754,28730.6,12818.542,26728,11883,12191,19291,1189,935,923,833,834,696,1373,809,560,2622,1545,1693,4509,3986,3541,3437,8016,10544,5984,1406,4083,929,1148,1291,101,132,86,48,132,71,1488,1301,2323,5532,3876,4741
RIL182_03767,2770,2109,999,1534,1599.029,913,1274,1038,2197,191,157,114,121,132,99,507,74,81,1389,1166,2130,1494,1010,1062,1516,2075,2055,1290,639,1496,125,201,332,55,81,76,75,17,36,642,529,634,2660,2165,2605
RIL182_03768,59,36,59,25,32,39,72,75,80,0,3,3,7,0,4,40,0,16,19,13,13,38,8,41,33,60,186,108,94,158,10,7,8,0,3,1,5,1,0,13,19,11,167,135,136
RIL182_03769,3505,2443,1191,1093,1647,713,2196,1867,3391,105,84,130,237,66,9,532,318,238,1299,1460,1998,2795,1892,1942,1838,2096,1128,1166,775,1200,115,205,328,32,22,30,8,68,43,838,799,657,2250,1551,1806
RIL182_03770,4345.02,3005,2081,2451,2242,2145,2967,2243,3967,243,238,248,242,168,278,559,124,133,1096,1001,1478,2477,1270,1657,1685.071,2801,3305,2573,1189,2255,317,314,498,46,76,53,37,49,13,411,552,619,1779,1054,1756
RIL182_03771,9670,6630,5449,6005,5719,5866.028,4297,5120,8816,577,472,471,437,221,275,1596,441,412,4654,3039,5192,4193,1873,3871,4109,6048.539,6632,5892,3653,5601,502,794,974,80,137,94,38,9,14,866,804,1273,3062,2275,2949
RIL182_03772,15181.967,12774,5654,16411.006,10286,25834,11223,11637,21271,1521,1282,1530,4057,2447,2269,6584,1714,2118,4601,4037,5848.487,6791,6916,6709,12179.3,13186,6329,6707,3043,6830,478,866,1174,341,330,295,165,291,159,5969,6131,6746,10963,9944,11105
"fig|536231.75.peg.3929   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
RIL182_03773,7105.409,5231,3901,2998,1856,2409,2324,2087,3565,422,315,346,240,133,247,598,204,305,1694,1488,1730,2153,1939,1659,1083,2038.033,3181,1393,842,1175,162,298,521,102,88,114,30,80,35,950,941,941,1929,1554,1669
RIL182_03774,8556.017,5676.355,3801,3927,2156,2967,2543,2034,3162,470,425,502,357,216,320,677,230,207,1088,859.026,956,2538,2208.569,1812,916,2249,3442,1643,871,1293,325,388,556,133,112,161,85,92,15,1243,860,1140,2089,1539,1983
